lava: .word 16, 16
.byte 6,39,39,23,7,6,6,6,7,7,23,7,7,6,6,6,
23,63,63,23,7,7,6,7,7,23,63,23,7,7,6,6,
23,39,63,23,6,7,7,23,7,23,63,39,6,7,7,7,
7,7,23,7,23,23,39,63,23,23,23,23,23,23,7,7,
7,6,7,23,63,23,23,23,39,63,23,63,63,39,23,7,
7,7,39,63,23,23,6,7,7,7,6,39,39,23,23,7,
6,7,23,7,7,7,6,6,7,7,7,23,7,7,39,7,
6,6,7,23,39,23,6,6,23,23,7,6,7,39,63,39,
6,6,23,39,63,39,7,7,39,63,23,6,7,23,23,23,
7,7,7,23,23,23,7,7,23,63,23,6,6,7,23,7,
7,23,23,7,7,7,6,7,23,23,23,7,7,39,23,7,
7,39,63,23,23,39,23,7,7,7,7,23,39,63,39,7,
7,63,63,23,63,63,39,7,6,7,7,23,63,63,23,7,
7,23,39,23,23,23,23,7,23,23,7,23,39,23,7,7,
6,7,23,7,6,7,7,23,39,39,23,7,23,7,7,6,
6,7,23,7,7,7,6,6,39,23,7,7,7,7,6,6,


